# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
8.900000000000000000e+01,1.138338461538461672e+02,3.449676921301858101e+01,1.931709230946737534e+02,9.821230769230768942e+01,5.181113520151054530e+01,1.446134801831048264e+02,5.915384615384616102e-02,-2.353151273074693406e-01,3.536228196151616765e-01,7.134799999999999898e+01
9.000000000000000000e+01,1.086476923076923242e+02,3.728960482967265477e+01,1.800057797857119795e+02,9.817030769230765941e+01,5.337630187871244658e+01,1.429643135059028793e+02,6.553846153846147604e-02,-2.332695847399313127e-01,3.643465078168542925e-01,7.209899999999998954e+01
9.100000000000000000e+01,1.077046153846154084e+02,5.254256479861858509e+01,1.628666659706122459e+02,9.686584615384616370e+01,5.292994074284975881e+01,1.408017515648425615e+02,7.138461538461540745e-02,-2.270968074264426984e-01,3.698660381956735410e-01,9.407299999999999329e+01
9.200000000000000000e+01,1.047092307692307998e+02,5.307213103813578670e+01,1.563463305003258199e+02,9.612400000000002365e+01,5.236545931979065216e+01,1.398825406802093880e+02,7.623076923076924083e-02,-2.227753160806411892e-01,3.752368545421796986e-01,9.585399999999999920e+01
9.300000000000000000e+01,1.128799999999999955e+02,6.575556831601613794e+01,1.600044316839838530e+02,9.681723076923078963e+01,5.553117540284858933e+01,1.381032861356129899e+02,8.638461538461539302e-02,-2.123904578371951235e-01,3.851596886064259095e-01,9.763500000000000512e+01
9.400000000000000000e+01,1.277953846153846200e+02,4.289217559608341901e+01,2.126985936346858352e+02,9.948476923076924550e+01,5.891124439924347200e+01,1.400582940622950332e+02,1.049230769230768967e-01,-1.966554525969399503e-01,4.065016064430937437e-01,9.941599999999999682e+01
9.500000000000000000e+01,1.243784615384615364e+02,5.082101670830972751e+01,1.979359063686133595e+02,1.000263076923077108e+02,5.924259697083193998e+01,1.408100184137834958e+02,1.198461538461538384e-01,-1.826422047737966126e-01,4.223345124661042616e-01,1.011970000000000027e+02
9.600000000000000000e+01,1.268646153846153908e+02,5.351231180635899420e+01,2.002169189628717731e+02,1.008318461538461719e+02,6.028177849223867213e+01,1.413819138154536859e+02,1.360769230769230953e-01,-1.674795503252738404e-01,4.396333964791200311e-01,1.029770000000000039e+02
9.700000000000000000e+01,1.196599999999999966e+02,5.062569904973101131e+01,1.886943009502689961e+02,1.041235384615384731e+02,6.332774774991012379e+01,1.449193291731668296e+02,1.474615384615383940e-01,-1.562844625592071102e-01,4.512075394822838703e-01,1.047590000000000003e+02
9.800000000000000000e+01,1.233492307692307719e+02,5.835748425636269587e+01,1.883409772820988337e+02,1.052587692307692748e+02,6.380821579630149643e+01,1.467093226652370390e+02,1.590769230769230880e-01,-1.494816267936401044e-01,4.676354729474863081e-01,1.065400000000000063e+02
9.900000000000000000e+01,1.311815384615384517e+02,5.073082752657634842e+01,2.116322493965005549e+02,1.082201538461538206e+02,6.366072133035333280e+01,1.527795863619543013e+02,1.746923076923077300e-01,-1.437641582650648620e-01,4.931487736496803498e-01,1.083209999999999980e+02
1.000000000000000000e+02,1.269169230769230836e+02,5.743401190893374064e+01,1.963998342449124266e+02,1.113689230769230534e+02,6.673461846633226457e+01,1.560032276875138564e+02,1.859999999999999432e-01,-1.392374280666120456e-01,5.112374280666118764e-01,1.101029999999999944e+02
1.010000000000000000e+02,1.321353846153846519e+02,5.737405477009171761e+01,2.068967144606775719e+02,1.147956923076922777e+02,6.856984432797656837e+01,1.610215402874079871e+02,1.985384615384616080e-01,-1.299964248855423610e-01,5.270733479624656326e-01,1.118840000000000003e+02
